x,y,z
1.71988,2.82583,-0.890475
1.74174,2.8226,-0.892914
1.76515,2.82165,-0.896165
1.78501,2.81483,-0.89752
1.79704,2.79573,-0.89481
1.24113,2.83615,-0.868578
1.26162,2.83549,-0.870833
0.923259,2.83974,-0.909477
1.09531,2.77689,-0.909173
1.11268,2.77101,-0.909477
0.924695,-1.54648,-0.597696
0.888872,-1.50747,-0.5793
0.893337,-1.53652,-0.589
0.891388,-1.55506,-0.594351
0.9342,-1.65322,-0.632146
0.91267,-1.52788,-0.611779
0.887062,-1.50596,-0.600055
0.879221,-1.51381,-0.60109
0.870383,-1.51999,-0.601435
0.876747,-1.55309,-0.613158
0.919628,-1.53739,-0.637617
0.887385,-1.50435,-0.620588
0.878138,-1.50977,-0.620588
0.868858,-1.51513,-0.620588
0.868743,-1.53671,-0.627683
0.955505,-1.57806,-0.67987
0.924776,-1.54872,-0.66383
0.886876,-1.50624,-0.641957
0.876213,-1.50924,-0.640863
0.869252,-1.51863,-0.642686
0.865873,-1.53447,-0.647425
0.790047,-2.21861,-0.879645
0.77642,-2.22341,-0.879645
