x,y,z,cluster
2.04096,-1.22701,-0.8328,400
0.937247,-1.56896,-0.629364,400
0.887539,-1.50677,-0.6004,400
0.873558,-1.50407,-0.596952,400
0.864779,-1.51022,-0.597297,400
0.870742,-1.54246,-0.608676,400
0.939778,-1.5711,-0.652518,400
0.88786,-1.50516,-0.620943,400
0.876258,-1.50653,-0.619169,400
0.869323,-1.51594,-0.620943,400
0.856785,-1.51554,-0.618459,400
0.940547,-1.5751,-0.67586,400
0.889714,-1.51105,-0.644144,400
0.877149,-1.51085,-0.641592,400
0.868326,-1.51701,-0.641957,400
0.863124,-1.52961,-0.645238,400
0.820226,-2.17581,-0.867979,400
0.805566,-2.17731,-0.866521,400
